,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(8, 60)",57.0,58.0,44.0,57.0,66.0,68.0,71.0,58.0,48.0,13.0,3.0,7.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,10.0,11.0,11.0,6.0,10.0,17.0,12.0,11.0,12.0,14.0,16.0,17.0,17.0,13.0,16.0,12.0,17.0,11.0,14.0,10.0,16.0
"(8, 69)",28.0,22.0,20.0,20.0,19.0,25.0,27.0,23.0,26.0,7.0,3.0,5.0,7.0,3.0,3.0,6.0,2.0,9.0,6.0,9.0,12.0,16.0,9.0,9.0,8.0,8.0,13.0,16.0,18.0,14.0,7.0,16.0,22.0,27.0,20.0,18.0,19.0,22.0,19.0,16.0
"(8, 76)",1806.0,1520.0,1479.0,1446.0,1708.0,2469.0,1859.0,1811.0,966.0,184.0,20.0,9.0,6.0,2.0,9.0,9.0,13.0,7.0,22.0,24.0,20.0,25.0,46.0,40.0,50.0,51.0,46.0,48.0,65.0,54.0,68.0,58.0,64.0,56.0,85.0,67.0,93.0,94.0,94.0,102.0
"(8, 77)",365.0,319.0,331.0,325.0,385.0,359.0,395.0,318.0,311.0,77.0,30.0,24.0,25.0,24.0,28.0,17.0,24.0,40.0,32.0,53.0,94.0,81.0,63.0,79.0,83.0,87.0,82.0,97.0,97.0,104.0,105.0,109.0,91.0,121.0,125.0,133.0,141.0,147.0,120.0,138.0
"(10, 10)",88.0,74.0,74.0,71.0,99.0,63.0,74.0,93.0,65.0,28.0,23.0,12.0,17.0,19.0,18.0,16.0,25.0,26.0,23.0,22.0,28.0,25.0,34.0,27.0,31.0,26.0,41.0,24.0,25.0,33.0,40.0,33.0,26.0,28.0,33.0,41.0,35.0,41.0,38.0,43.0
"(11, 10)",40.0,32.0,40.0,51.0,53.0,48.0,54.0,64.0,55.0,27.0,9.0,17.0,6.0,10.0,10.0,14.0,18.0,21.0,17.0,16.0,11.0,13.0,13.0,21.0,27.0,15.0,15.0,14.0,11.0,15.0,14.0,13.0,11.0,12.0,10.0,11.0,14.0,13.0,14.0,12.0
"(11, 11)",282.0,247.0,186.0,200.0,215.0,245.0,235.0,196.0,152.0,42.0,28.0,39.0,25.0,27.0,45.0,34.0,37.0,27.0,24.0,29.0,38.0,32.0,35.0,34.0,45.0,28.0,35.0,25.0,31.0,36.0,28.0,29.0,36.0,43.0,32.0,44.0,43.0,47.0,30.0,29.0
"(11, 15)",77.0,84.0,67.0,69.0,80.0,85.0,100.0,77.0,78.0,38.0,28.0,19.0,7.0,10.0,5.0,12.0,7.0,18.0,15.0,8.0,14.0,8.0,16.0,21.0,13.0,14.0,19.0,19.0,17.0,24.0,16.0,9.0,14.0,16.0,15.0,22.0,15.0,10.0,16.0,23.0
"(13, 2)",22.0,23.0,22.0,30.0,19.0,17.0,27.0,25.0,16.0,11.0,6.0,5.0,5.0,4.0,8.0,7.0,15.0,5.0,8.0,11.0,10.0,7.0,15.0,13.0,13.0,17.0,5.0,11.0,10.0,12.0,18.0,9.0,15.0,25.0,15.0,8.0,22.0,15.0,15.0,23.0
"(13, 13)",87.0,86.0,112.0,101.0,76.0,88.0,107.0,112.0,89.0,41.0,17.0,25.0,15.0,6.0,14.0,16.0,30.0,18.0,21.0,30.0,39.0,32.0,27.0,35.0,34.0,25.0,18.0,24.0,29.0,40.0,30.0,56.0,35.0,45.0,37.0,53.0,50.0,59.0,37.0,48.0
"(14, 4)",50.0,37.0,45.0,37.0,55.0,51.0,39.0,55.0,42.0,23.0,9.0,8.0,10.0,7.0,6.0,2.0,10.0,3.0,10.0,10.0,6.0,14.0,10.0,23.0,9.0,16.0,8.0,12.0,15.0,12.0,14.0,15.0,16.0,19.0,16.0,12.0,15.0,14.0,9.0,7.0
"(14, 13)",25.0,17.0,22.0,32.0,26.0,27.0,23.0,35.0,24.0,18.0,12.0,10.0,9.0,9.0,8.0,12.0,9.0,12.0,13.0,7.0,6.0,19.0,9.0,5.0,10.0,14.0,14.0,13.0,15.0,13.0,8.0,13.0,9.0,13.0,11.0,10.0,11.0,11.0,14.0,6.0
"(14, 14)",136.0,121.0,167.0,130.0,172.0,150.0,193.0,138.0,128.0,86.0,71.0,68.0,51.0,27.0,29.0,45.0,47.0,42.0,35.0,42.0,59.0,33.0,59.0,42.0,66.0,53.0,58.0,64.0,41.0,64.0,58.0,78.0,47.0,55.0,52.0,75.0,59.0,75.0,64.0,51.0
"(14, 16)",49.0,62.0,72.0,65.0,57.0,74.0,73.0,76.0,69.0,36.0,25.0,30.0,21.0,13.0,19.0,21.0,21.0,18.0,13.0,22.0,14.0,26.0,22.0,29.0,27.0,35.0,29.0,11.0,27.0,31.0,22.0,27.0,30.0,35.0,28.0,39.0,21.0,32.0,32.0,24.0
"(15, 15)",174.0,169.0,259.0,192.0,152.0,179.0,208.0,186.0,130.0,73.0,41.0,50.0,43.0,32.0,39.0,53.0,38.0,43.0,29.0,41.0,73.0,63.0,52.0,59.0,64.0,44.0,60.0,57.0,76.0,77.0,75.0,80.0,60.0,67.0,76.0,64.0,44.0,64.0,81.0,62.0
"(15, 16)",23.0,30.0,31.0,22.0,33.0,22.0,26.0,25.0,42.0,18.0,14.0,12.0,13.0,8.0,4.0,8.0,13.0,15.0,20.0,14.0,19.0,10.0,15.0,11.0,7.0,7.0,18.0,10.0,9.0,9.0,10.0,9.0,12.0,12.0,11.0,13.0,13.0,11.0,6.0,15.0
"(16, 4)",39.0,29.0,33.0,27.0,44.0,26.0,29.0,28.0,33.0,11.0,7.0,1.0,3.0,8.0,5.0,8.0,6.0,8.0,13.0,7.0,8.0,14.0,10.0,20.0,13.0,11.0,13.0,13.0,15.0,11.0,22.0,11.0,13.0,14.0,15.0,19.0,16.0,28.0,16.0,22.0
"(16, 5)",22.0,30.0,34.0,33.0,27.0,34.0,39.0,41.0,23.0,9.0,5.0,11.0,4.0,6.0,8.0,13.0,9.0,13.0,11.0,14.0,13.0,16.0,13.0,16.0,16.0,13.0,13.0,12.0,14.0,11.0,12.0,13.0,16.0,18.0,20.0,11.0,15.0,12.0,7.0,10.0
"(16, 6)",48.0,40.0,36.0,45.0,50.0,39.0,33.0,46.0,26.0,11.0,10.0,4.0,0.0,6.0,5.0,4.0,10.0,7.0,8.0,6.0,15.0,12.0,11.0,24.0,24.0,21.0,19.0,15.0,18.0,18.0,14.0,11.0,12.0,19.0,20.0,33.0,31.0,22.0,24.0,24.0
"(16, 8)",34.0,35.0,34.0,32.0,30.0,34.0,36.0,35.0,25.0,10.0,5.0,7.0,6.0,11.0,7.0,8.0,2.0,6.0,3.0,8.0,13.0,14.0,8.0,12.0,8.0,24.0,17.0,20.0,12.0,10.0,17.0,10.0,11.0,11.0,17.0,20.0,22.0,12.0,19.0,10.0
"(16, 14)",65.0,59.0,61.0,67.0,75.0,73.0,70.0,62.0,69.0,39.0,22.0,23.0,17.0,11.0,17.0,15.0,17.0,16.0,13.0,12.0,16.0,19.0,23.0,21.0,33.0,32.0,28.0,15.0,23.0,32.0,25.0,32.0,15.0,25.0,34.0,28.0,27.0,39.0,24.0,30.0
"(16, 15)",37.0,46.0,35.0,32.0,37.0,30.0,39.0,61.0,55.0,24.0,19.0,9.0,11.0,3.0,12.0,17.0,17.0,16.0,17.0,14.0,15.0,12.0,16.0,16.0,17.0,13.0,22.0,7.0,10.0,12.0,12.0,12.0,13.0,16.0,11.0,13.0,20.0,17.0,24.0,20.0
"(16, 16)",477.0,390.0,389.0,380.0,407.0,387.0,439.0,402.0,384.0,140.0,75.0,79.0,78.0,82.0,97.0,106.0,144.0,128.0,134.0,157.0,130.0,116.0,136.0,128.0,153.0,174.0,176.0,208.0,169.0,162.0,192.0,199.0,177.0,184.0,163.0,184.0,184.0,169.0,198.0,180.0
"(16, 21)",37.0,36.0,36.0,39.0,44.0,29.0,52.0,43.0,46.0,23.0,13.0,14.0,16.0,10.0,5.0,18.0,19.0,23.0,12.0,12.0,21.0,15.0,24.0,16.0,10.0,15.0,15.0,15.0,17.0,17.0,25.0,20.0,16.0,17.0,25.0,22.0,12.0,16.0,14.0,21.0
"(17, 17)",20.0,32.0,20.0,23.0,28.0,23.0,37.0,20.0,27.0,12.0,7.0,12.0,3.0,7.0,9.0,13.0,17.0,9.0,15.0,17.0,11.0,8.0,13.0,7.0,13.0,7.0,4.0,6.0,3.0,5.0,7.0,12.0,16.0,16.0,16.0,13.0,11.0,12.0,7.0,14.0
"(19, 19)",45.0,42.0,38.0,34.0,51.0,43.0,36.0,42.0,45.0,28.0,29.0,31.0,30.0,12.0,25.0,21.0,20.0,29.0,24.0,14.0,27.0,16.0,17.0,9.0,14.0,33.0,22.0,18.0,15.0,22.0,29.0,33.0,29.0,22.0,27.0,21.0,23.0,22.0,16.0,14.0
"(21, 16)",30.0,41.0,25.0,35.0,42.0,30.0,39.0,31.0,38.0,13.0,10.0,9.0,14.0,5.0,9.0,16.0,20.0,18.0,17.0,23.0,15.0,26.0,20.0,25.0,21.0,18.0,14.0,11.0,15.0,15.0,35.0,17.0,18.0,17.0,22.0,24.0,20.0,15.0,15.0,20.0
"(21, 21)",323.0,245.0,279.0,302.0,368.0,369.0,422.0,445.0,334.0,116.0,43.0,50.0,33.0,41.0,23.0,27.0,24.0,34.0,30.0,45.0,39.0,37.0,51.0,30.0,34.0,33.0,57.0,35.0,47.0,43.0,59.0,41.0,41.0,42.0,37.0,24.0,59.0,28.0,44.0,38.0
"(21, 22)",23.0,21.0,43.0,34.0,24.0,18.0,30.0,28.0,22.0,10.0,6.0,12.0,8.0,7.0,6.0,5.0,9.0,12.0,15.0,5.0,7.0,8.0,5.0,6.0,10.0,7.0,9.0,9.0,9.0,15.0,14.0,11.0,12.0,18.0,10.0,11.0,6.0,7.0,10.0,15.0
"(22, 6)",35.0,43.0,53.0,41.0,41.0,46.0,50.0,41.0,36.0,14.0,20.0,14.0,13.0,10.0,10.0,14.0,17.0,15.0,17.0,21.0,18.0,23.0,20.0,26.0,16.0,29.0,23.0,22.0,17.0,28.0,23.0,26.0,33.0,23.0,26.0,22.0,29.0,28.0,21.0,22.0
